38400a00-8cf0-11bd-b23e-10b96e4ef00d,Stole my red stapler,2015-11-11,T
38400b00-8cf0-11bd-b23e-10b96e4ef00d,Forged my TPS reports,2015-11-01,T
38400c00-8cf0-11bd-b23e-10b96e4ef00d,Destroyed fax machine,2015-11-10,T
38400d00-8cf0-11bd-b23e-10b96e4ef00d,Hacked my email,2015-11-10,T
38400e00-8cf0-11bd-b23e-10b96e4ef00d,Used my parking space,2015-11-05,T
38400f00-8cf0-11bd-b23e-10b96e4ef00d,Ate my piece of cake,2015-10-27,F
3840000a-8cf0-11bd-b23e-10b96e4ef00d,Stole my cubicle,2015-10-18,F
3840000b-8cf0-11bd-b23e-10b96e4ef00d,Stole my TPS reports,2015-11-02,T
3840000c-8cf0-11bd-b23e-10b96e4ef00d,Stole money from accounting,2015-10-11,F
3840000d-8cf0-11bd-b23e-10b96e4ef00d,Blew up the building,2015-11-09,T
